{\rtf1\ansi\ansicpg1252\cocoartf2867
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
marraskuu 2010;Legionelloosi;3\
joulukuu 2010;Legionelloosi;3\
Vuosi 2011;Legionelloosi;54\
tammikuu 2011;Legionelloosi;1\
helmikuu 2011;Legionelloosi;2\
maaliskuu 2011;Legionelloosi;3\
huhtikuu 2011;Legionelloosi;0\
toukokuu 2011;Legionelloosi;0\
kes\'c3\'a4kuu 2011;Legionelloosi;2\
hein\'c3\'a4kuu 2011;Legionelloosi;1\
elokuu 2011;Legionelloosi;1\
syyskuu 2011;Legionelloosi;6\
lokakuu 2011;Legionelloosi;14\
marraskuu 2011;Legionelloosi;19\
joulukuu 2011;Legionelloosi;5\
Vuosi 2012;Legionelloosi;58\
tammikuu 2012;Legionelloosi;12\
helmikuu 2012;Legionelloosi;6\
maaliskuu 2012;Legionelloosi;10\
huhtikuu 2012;Legionelloosi;4\
toukokuu 2012;Legionelloosi;2\
kes\'c3\'a4kuu 2012;Legionelloosi;9\
hein\'c3\'a4kuu 2012;Legionelloosi;2\
elokuu 2012;Legionelloosi;0\
syyskuu 2012;Legionelloosi;2\
lokakuu 2012;Legionelloosi;2\
marraskuu 2012;Legionelloosi;2\
joulukuu 2012;Legionelloosi;7\
Vuosi 2013;Legionelloosi;31\
tammikuu 2013;Legionelloosi;7\
helmikuu 2013;Legionelloosi;1\
maaliskuu 2013;Legionelloosi;6\
huhtikuu 2013;Legionelloosi;5\
toukokuu 2013;Legionelloosi;0\
kes\'c3\'a4kuu 2013;Legionelloosi;0\
hein\'c3\'a4kuu 2013;Legionelloosi;4\
elokuu 2013;Legionelloosi;1\
syyskuu 2013;Legionelloosi;2\
lokakuu 2013;Legionelloosi;2\
marraskuu 2013;Legionelloosi;3\
joulukuu 2013;Legionelloosi;0\
Vuosi 2014;Legionelloosi;10\
tammikuu 2014;Legionelloosi;0\
helmikuu 2014;Legionelloosi;1\
maaliskuu 2014;Legionelloosi;2\
huhtikuu 2014;Legionelloosi;0\
toukokuu 2014;Legionelloosi;1\
kes\'c3\'a4kuu 2014;Legionelloosi;0\
hein\'c3\'a4kuu 2014;Legionelloosi;0\
elokuu 2014;Legionelloosi;0\
syyskuu 2014;Legionelloosi;4\
lokakuu 2014;Legionelloosi;1\
marraskuu 2014;Legionelloosi;0\
joulukuu 2014;Legionelloosi;1\
Vuosi 2015;Legionelloosi;17\
tammikuu 2015;Legionelloosi;0\
helmikuu 2015;Legionelloosi;0\
maaliskuu 2015;Legionelloosi;4\
huhtikuu 2015;Legionelloosi;0\
toukokuu 2015;Legionelloosi;1\
kes\'c3\'a4kuu 2015;Legionelloosi;4\
hein\'c3\'a4kuu 2015;Legionelloosi;1\
elokuu 2015;Legionelloosi;4\
syyskuu 2015;Legionelloosi;1\
lokakuu 2015;Legionelloosi;0\
marraskuu 2015;Legionelloosi;2\
joulukuu 2015;Legionelloosi;0\
Vuosi 2016;Legionelloosi;15\
tammikuu 2016;Legionelloosi;0\
helmikuu 2016;Legionelloosi;0\
maaliskuu 2016;Legionelloosi;1\
huhtikuu 2016;Legionelloosi;1\
toukokuu 2016;Legionelloosi;1\
kes\'c3\'a4kuu 2016;Legionelloosi;2\
hein\'c3\'a4kuu 2016;Legionelloosi;2\
elokuu 2016;Legionelloosi;1\
syyskuu 2016;Legionelloosi;2\
lokakuu 2016;Legionelloosi;3\
marraskuu 2016;Legionelloosi;1\
joulukuu 2016;Legionelloosi;1\
Vuosi 2017;Legionelloosi;27\
tammikuu 2017;Legionelloosi;2\
helmikuu 2017;Legionelloosi;2\
maaliskuu 2017;Legionelloosi;2\
huhtikuu 2017;Legionelloosi;3\
toukokuu 2017;Legionelloosi;2\
kes\'c3\'a4kuu 2017;Legionelloosi;4\
hein\'c3\'a4kuu 2017;Legionelloosi;0\
elokuu 2017;Legionelloosi;4\
syyskuu 2017;Legionelloosi;1\
lokakuu 2017;Legionelloosi;1\
marraskuu 2017;Legionelloosi;3\
joulukuu 2017;Legionelloosi;3\
Vuosi 2018;Legionelloosi;24\
tammikuu 2018;Legionelloosi;0\
helmikuu 2018;Legionelloosi;1\
maaliskuu 2018;Legionelloosi;0\
huhtikuu 2018;Legionelloosi;2\
toukokuu 2018;Legionelloosi;0\
kes\'c3\'a4kuu 2018;Legionelloosi;0\
hein\'c3\'a4kuu 2018;Legionelloosi;5\
elokuu 2018;Legionelloosi;1\
syyskuu 2018;Legionelloosi;4\
lokakuu 2018;Legionelloosi;5\
marraskuu 2018;Legionelloosi;2\
joulukuu 2018;Legionelloosi;4\
Vuosi 2019;Legionelloosi;44\
tammikuu 2019;Legionelloosi;5\
helmikuu 2019;Legionelloosi;3\
maaliskuu 2019;Legionelloosi;1\
huhtikuu 2019;Legionelloosi;1\
toukokuu 2019;Legionelloosi;2\
kes\'c3\'a4kuu 2019;Legionelloosi;5\
hein\'c3\'a4kuu 2019;Legionelloosi;5\
elokuu 2019;Legionelloosi;1\
syyskuu 2019;Legionelloosi;5\
lokakuu 2019;Legionelloosi;9\
marraskuu 2019;Legionelloosi;5\
joulukuu 2019;Legionelloosi;2\
Vuosi 2020;Legionelloosi;24\
tammikuu 2020;Legionelloosi;3\
helmikuu 2020;Legionelloosi;3\
maaliskuu 2020;Legionelloosi;3\
huhtikuu 2020;Legionelloosi;2\
toukokuu 2020;Legionelloosi;0\
kes\'c3\'a4kuu 2020;Legionelloosi;1\
hein\'c3\'a4kuu 2020;Legionelloosi;3\
elokuu 2020;Legionelloosi;4\
syyskuu 2020;Legionelloosi;3\
lokakuu 2020;Legionelloosi;1\
marraskuu 2020;Legionelloosi;0\
joulukuu 2020;Legionelloosi;1\
Vuosi 2021;Legionelloosi;34\
tammikuu 2021;Legionelloosi;0\
helmikuu 2021;Legionelloosi;3\
maaliskuu 2021;Legionelloosi;5\
huhtikuu 2021;Legionelloosi;3\
toukokuu 2021;Legionelloosi;2\
kes\'c3\'a4kuu 2021;Legionelloosi;3\
hein\'c3\'a4kuu 2021;Legionelloosi;2\
elokuu 2021;Legionelloosi;5\
syyskuu 2021;Legionelloosi;3\
lokakuu 2021;Legionelloosi;3\
marraskuu 2021;Legionelloosi;4\
joulukuu 2021;Legionelloosi;1\
Vuosi 2022;Legionelloosi;46\
tammikuu 2022;Legionelloosi;3\
helmikuu 2022;Legionelloosi;3\
maaliskuu 2022;Legionelloosi;5\
huhtikuu 2022;Legionelloosi;3\
toukokuu 2022;Legionelloosi;3\
kes\'c3\'a4kuu 2022;Legionelloosi;3\
hein\'c3\'a4kuu 2022;Legionelloosi;8\
elokuu 2022;Legionelloosi;2\
syyskuu 2022;Legionelloosi;3\
lokakuu 2022;Legionelloosi;7\
marraskuu 2022;Legionelloosi;3\
joulukuu 2022;Legionelloosi;3\
Vuosi 2023;Legionelloosi;55\
tammikuu 2023;Legionelloosi;1\
helmikuu 2023;Legionelloosi;4\
maaliskuu 2023;Legionelloosi;6\
huhtikuu 2023;Legionelloosi;2\
toukokuu 2023;Legionelloosi;3\
kes\'c3\'a4kuu 2023;Legionelloosi;5\
hein\'c3\'a4kuu 2023;Legionelloosi;10\
elokuu 2023;Legionelloosi;8\
syyskuu 2023;Legionelloosi;4\
lokakuu 2023;Legionelloosi;3\
marraskuu 2023;Legionelloosi;6\
joulukuu 2023;Legionelloosi;3\
Vuosi 2024;Legionelloosi;48\
tammikuu 2024;Legionelloosi;3\
helmikuu 2024;Legionelloosi;2\
maaliskuu 2024;Legionelloosi;5\
huhtikuu 2024;Legionelloosi;5\
toukokuu 2024;Legionelloosi;7\
kes\'c3\'a4kuu 2024;Legionelloosi;4\
hein\'c3\'a4kuu 2024;Legionelloosi;5\
elokuu 2024;Legionelloosi;3\
syyskuu 2024;Legionelloosi;3\
lokakuu 2024;Legionelloosi;5\
marraskuu 2024;Legionelloosi;3\
joulukuu 2024;Legionelloosi;3\
Vuosi 2025;Legionelloosi;86\
tammikuu 2025;Legionelloosi;0\
helmikuu 2025;Legionelloosi;4\
maaliskuu 2025;Legionelloosi;6\
huhtikuu 2025;Legionelloosi;1\
toukokuu 2025;Legionelloosi;6\
kes\'c3\'a4kuu 2025;Legionelloosi;17\
hein\'c3\'a4kuu 2025;Legionelloosi;6\
elokuu 2025;Legionelloosi;8\
syyskuu 2025;Legionelloosi;13\
lokakuu 2025;Legionelloosi;10\
marraskuu 2025;Legionelloosi;12\
joulukuu 2025;Legionelloosi;3}
